I
1100 Generated by WorldEditor 2.2.0r2

1      0 1 0 MMEX Texcoco Mexico CIty
100 135.00 2 0 0.00 1 2 1 01R  19.49829160 -098.98913419    0    0 3 8 0 0 19L  19.54587027 -098.98737568    0    0 3 8 0 0
100 125.00 2 0 0.00 1 2 1 01L  19.49899602 -099.00330829    0    0 3 8 0 0 19R  19.54422369 -099.00178658    0    0 3 8 0 0
110 1 0.00 0.0000 New Taxiway 4
111  19.53209156 -098.97868357
111  19.53204457 -098.97866994
111  19.53201960 -098.97870084
111  19.53203416 -098.97875823
112  19.53200712 -098.97880900  19.53200296 -098.97881342
112  19.53193223 -098.97883770  19.53192391 -098.97883991
111  19.53179077 -098.97888405
111  19.53165971 -098.97894144
112  19.53154945 -098.97896793  19.53154321 -098.97897014
112  19.53141007 -098.97900987  19.53140591 -098.97901208
112  19.53131229 -098.97905401  19.53129357 -098.97906947
111  19.53116251 -098.97911140
111  19.53100856 -098.97911140
111  19.53089831 -098.97914010
112  19.53080677 -098.97919087  19.53079429 -098.97919308
111  19.53076309 -098.97923501
112  19.53076309 -098.97939615  19.53076309 -098.97942484
112  19.53076517 -098.97952417  19.53076517 -098.97953079
111  19.53077765 -098.97961467
112  19.53077973 -098.97978022  19.53077973 -098.97978684
111  19.53077765 -098.97986851
111  19.53077141 -098.97997005
112  19.53073396 -098.98010911  19.53072980 -098.98012456
111  19.53068195 -098.98018637
111  19.53063619 -098.98027245
111  19.53056179 -098.98036314
111  19.53052464 -098.98040010
111  19.53051186 -098.98047833
111  19.53051012 -098.98067977
111  19.53050907 -098.98079017
111  19.53050666 -098.98084765
111  19.53050425 -098.98089619
111  19.53049582 -098.98092174
111  19.53047777 -098.98094345
111  19.53044646 -098.98094856
111  19.53040914 -098.98091407
111  19.53040433 -098.98087320
111  19.53043081 -098.98079528
111  19.53043683 -098.98073013
111  19.53044044 -098.98067137
111  19.53039349 -098.98062538
111  19.53034775 -098.98060750
111  19.53032006 -098.98065349
111  19.53027431 -098.98068798
112  19.53022254 -098.98073652  19.53021893 -098.98073907
112  19.53018281 -098.98076973  19.53017920 -098.98077228
112  19.53015031 -098.98076973  19.53014790 -098.98076973
111  19.53011178 -098.98076462
111  19.53006724 -098.98077867
111  19.53000945 -098.98079528
111  19.52997213 -098.98080677
111  19.52994444 -098.98082466
112  19.52987100 -098.98084893  19.52986619 -098.98085020
111  19.52983850 -098.98084893
111  19.52977590 -098.98087320
111  19.52974941 -098.98089108
111  19.52969644 -098.98087958
111  19.52964106 -098.98085659
111  19.52957003 -098.98084765
111  19.52951225 -098.98080805
111  19.52943062 -098.98075300
111  19.52933816 -098.98069169
111  19.52931505 -098.98063038
111  19.52929482 -098.98059512
111  19.52923126 -098.98066870
111  19.52915180 -098.98063038
111  19.52906512 -098.98058286
111  19.52898566 -098.98054147
111  19.52893077 -098.98046330
111  19.52797460 -098.98030942
111  19.52784747 -098.98036766
111  19.52767700 -098.98045504
111  19.52761054 -098.98053168
111  19.52762788 -098.98062365
111  19.52766977 -098.98072941
112  19.52767700 -098.98086890  19.52767555 -098.98089189
111  19.52766255 -098.98097467
111  19.52761632 -098.98099766
111  19.52753542 -098.98112182
111  19.52740251 -098.98133181
111  19.52743314 -098.98112885
111  19.52747266 -098.98093020
111  19.52754547 -098.98085736
